<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.03	01:00:00	3983.35	3998.84	3977.82	3980.45	6070	0	28
2025.11.03	02:00:00	3980.11	3987.75	3962.50	3970.72	7048	0	28
2025.11.03	03:00:00	3970.69	4001.75	3965.63	3995.94	9144	0	28
2025.11.03	04:00:00	3995.92	4006.44	3990.27	4004.06	7820	0	28
2025.11.03	05:00:00	4004.04	4015.25	4002.36	4011.20	6788	0	28
2025.11.03	06:00:00	4011.21	4014.25	4001.74	4003.70	6269	0	28
2025.11.03	07:00:00	4003.73	4018.31	3997.81	4013.90	6975	0	28
2025.11.03	08:00:00	4013.95	4018.57	4009.90	4017.52	6912	0	28
2025.11.03	09:00:00	4017.50	4025.83	4013.47	4025.21	7282	0	28
2025.11.03	10:00:00	4025.21	4027.97	4011.04	4019.56	7749	0	28
2025.11.03	11:00:00	4019.58	4025.93	3993.23	4000.43	8529	0	28
2025.11.03	12:00:00	4000.56	4004.72	3994.37	3998.60	7123	0	28
2025.11.03	13:00:00	3998.59	4008.56	3994.43	4007.52	7121	0	28
2025.11.03	14:00:00	4007.54	4013.44	4001.95	4013.29	6625	0	28
2025.11.03	15:00:00	4013.33	4020.28	4010.75	4015.98	8883	0	28
2025.11.03	16:00:00	4016.01	4025.94	4001.60	4022.66	9549	0	28
2025.11.03	17:00:00	4022.63	4030.45	4003.44	4008.55	10456	0	28
2025.11.03	18:00:00	4008.07	4013.38	3995.30	4008.24	9316	0	28
2025.11.03	19:00:00	4008.00	4012.01	4003.43	4006.03	7505	0	28
2025.11.03	20:00:00	4006.07	4009.53	3999.38	4006.39	7135	0	28
2025.11.03	21:00:00	4006.33	4007.89	3995.31	4004.70	7482	0	28
2025.11.03	22:00:00	4004.70	4014.85	4004.68	4010.16	6628	0	28
2025.11.03	23:00:00	4010.04	4010.04	4000.21	4001.71	2958	0	28
2025.11.04	01:00:00	4002.33	4005.63	3982.11	3997.22	5053	0	28
2025.11.04	02:00:00	3997.21	3999.03	3978.46	3986.39	7589	0	28
2025.11.04	03:00:00	3986.37	3994.46	3979.56	3987.24	8530	0	28
2025.11.04	04:00:00	3987.21	3987.23	3975.83	3986.73	8224	0	28
2025.11.04	05:00:00	3986.65	3999.19	3981.62	3994.56	6999	0	28
2025.11.04	06:00:00	3994.50	3995.13	3983.99	3985.50	5884	0	28
2025.11.04	07:00:00	3985.25	3987.11	3972.67	3973.17	7701	0	28
2025.11.04	08:00:00	3973.08	3988.02	3966.70	3984.85	8485	0	28
2025.11.04	09:00:00	3984.92	3996.21	3982.28	3993.85	6715	0	28
2025.11.04	10:00:00	3994.15	4000.62	3990.72	3996.09	7889	0	28
2025.11.04	11:00:00	3996.02	3999.34	3990.40	3991.10	6784	0	28
2025.11.04	12:00:00	3991.11	3997.54	3985.89	3993.81	6397	0	28
2025.11.04	13:00:00	3993.84	3999.92	3991.58	3994.93	5624	0	28
2025.11.04	14:00:00	3994.93	3997.46	3983.68	3985.05	7537	0	28
2025.11.04	15:00:00	3984.62	3995.91	3971.74	3975.84	9237	0	28
2025.11.04	16:00:00	3975.69	3977.70	3928.69	3957.16	10351	0	28
2025.11.04	17:00:00	3957.18	3968.08	3941.22	3956.73	9806	0	28
2025.11.04	18:00:00	3956.78	3975.42	3956.68	3968.96	8813	0	28
2025.11.04	19:00:00	3969.02	3970.92	3952.39	3955.03	8585	0	28
2025.11.04	20:00:00	3955.00	3956.72	3932.11	3937.76	9043	0	28
2025.11.04	21:00:00	3937.82	3944.12	3934.48	3937.30	8228	0	28
2025.11.04	22:00:00	3937.32	3942.12	3931.34	3938.75	8277	0	28
2025.11.04	23:00:00	3938.78	3938.78	3930.61	3933.09	3936	0	28
2025.11.05	01:00:00	3933.47	3940.50	3930.98	3934.61	4846	0	28
2025.11.05	02:00:00	3934.68	3942.91	3929.84	3939.76	7429	0	28
2025.11.05	03:00:00	3941.24	3949.30	3934.46	3937.08	8604	0	28
2025.11.05	04:00:00	3937.06	3950.94	3935.55	3948.49	7788	0	28
2025.11.05	05:00:00	3948.40	3965.09	3947.46	3960.82	6626	0	28
2025.11.05	06:00:00	3960.53	3973.65	3959.79	3970.22	6214	0	28
2025.11.05	07:00:00	3970.23	3978.53	3962.11	3964.89	7411	0	28
2025.11.05	08:00:00	3965.12	3973.49	3961.75	3966.32	7148	0	28
2025.11.05	09:00:00	3966.34	3974.75	3963.78	3972.57	6297	0	28
2025.11.05	10:00:00	3972.58	3987.04	3972.56	3979.83	6965	0	28
2025.11.05	11:00:00	3979.68	3981.21	3963.69	3971.79	6443	0	28
2025.11.05	12:00:00	3971.78	3971.79	3956.10	3964.42	6251	0	28
2025.11.05	13:00:00	3964.44	3968.87	3957.57	3966.87	5777	0	28
2025.11.05	14:00:00	3966.85	3969.71	3962.23	3969.36	5314	0	28
2025.11.05	15:00:00	3969.52	3979.33	3964.74	3975.87	8129	0	28
2025.11.05	16:00:00	3975.78	3985.54	3969.56	3973.52	8882	0	28
2025.11.05	17:00:00	3969.84	3984.35	3964.03	3978.26	9828	0	28
2025.11.05	18:00:00	3978.31	3990.29	3974.90	3986.80	7980	0	28
2025.11.05	19:00:00	3986.73	3989.57	3978.69	3982.00	6376	0	28
2025.11.05	20:00:00	3982.01	3985.97	3978.92	3982.36	5928	0	28
2025.11.05	21:00:00	3982.37	3988.75	3979.10	3987.74	5343	0	28
2025.11.05	22:00:00	3987.84	3990.07	3981.42	3984.37	5693	0	28
2025.11.05	23:00:00	3984.30	3984.87	3979.03	3979.19	2551	0	28
2025.11.06	01:00:00	3980.84	3981.43	3966.74	3973.63	4558	0	28
2025.11.06	02:00:00	3973.56	3975.81	3969.57	3975.81	4815	0	28
2025.11.06	03:00:00	3976.12	3977.25	3964.41	3976.58	6524	0	28
2025.11.06	04:00:00	3976.66	3985.05	3974.17	3983.31	5752	0	28
2025.11.06	05:00:00	3983.36	3990.25	3979.44	3987.52	5019	0	28
2025.11.06	06:00:00	3987.37	3989.73	3984.40	3988.73	3484	0	28
2025.11.06	07:00:00	3988.57	3990.40	3985.62	3987.67	5080	0	28
2025.11.06	08:00:00	3987.62	3992.52	3982.29	3991.70	5835	0	28
2025.11.06	09:00:00	3991.49	4009.16	3991.31	4005.75	6870	0	28
2025.11.06	10:00:00	4005.66	4016.81	4004.65	4014.78	7098	0	28
2025.11.06	11:00:00	4014.74	4015.14	4009.33	4010.96	5652	0	28
2025.11.06	12:00:00	4011.08	4011.13	4004.40	4008.30	5622	0	28
2025.11.06	13:00:00	4008.21	4019.41	4007.13	4018.08	5747	0	28
2025.11.06	14:00:00	4018.06	4019.40	4003.00	4005.15	6072	0	28
2025.11.06	15:00:00	4005.14	4016.10	4003.64	4012.13	7077	0	28
2025.11.06	16:00:00	4012.26	4013.82	3989.07	3993.19	9666	0	28
2025.11.06	17:00:00	3992.11	3993.57	3975.15	3980.22	10399	0	28
2025.11.06	18:00:00	3980.32	3986.34	3976.36	3980.89	9414	0	28
2025.11.06	19:00:00	3980.87	3988.03	3965.69	3986.15	9498	0	28
2025.11.06	20:00:00	3986.11	3990.80	3980.16	3987.72	7958	0	28
2025.11.06	21:00:00	3987.78	3995.17	3983.16	3985.28	7023	0	28
2025.11.06	22:00:00	3985.27	3987.14	3979.35	3980.65	7523	0	28
2025.11.06	23:00:00	3980.62	3982.24	3976.65	3977.27	3359	0	28
2025.11.07	01:00:00	3977.25	3989.66	3974.54	3989.07	3454	0	28
2025.11.07	02:00:00	3989.11	3994.35	3984.46	3988.54	4266	0	28
2025.11.07	03:00:00	3988.47	4002.69	3987.08	4001.66	6491	0	28
2025.11.07	04:00:00	4001.69	4003.19	3991.52	3995.40	5743	0	28
2025.11.07	05:00:00	3995.31	3996.48	3988.17	3990.35	4562	0	28
2025.11.07	06:00:00	3990.34	3998.42	3985.43	3998.32	4206	0	28
2025.11.07	07:00:00	3998.33	3998.62	3991.90	3994.97	4914	0	28
2025.11.07	08:00:00	3995.00	4008.33	3992.22	4006.71	5655	0	28
2025.11.07	09:00:00	4006.68	4009.77	4002.81	4007.70	5055	0	28
2025.11.07	10:00:00	4008.11	4010.30	4003.60	4009.64	5258	0	28
2025.11.07	11:00:00	4009.72	4014.12	4004.16	4006.55	5327	0	28
2025.11.07	12:00:00	4006.58	4009.38	4003.08	4007.78	4742	0	28
2025.11.07	13:00:00	4007.82	4011.89	3993.72	4002.85	6692	0	28
2025.11.07	14:00:00	4002.85	4008.39	3991.60	3995.78	6769	0	28
2025.11.07	15:00:00	3995.94	4001.88	3991.73	3997.66	7700	0	28
2025.11.07	16:00:00	3997.68	4007.29	3984.29	3993.36	8890	0	28
2025.11.07	17:00:00	3993.49	3999.10	3983.99	3990.86	9528	0	28
2025.11.07	18:00:00	3990.90	4027.31	3989.96	4007.68	9511	0	28
2025.11.07	19:00:00	4007.66	4009.74	3992.40	4005.37	9022	0	28
2025.11.07	20:00:00	4005.46	4008.98	3999.51	4005.48	7567	0	28
2025.11.07	21:00:00	4005.45	4008.95	4001.71	4006.77	6984	0	28
2025.11.07	22:00:00	4006.68	4006.85	3994.47	4003.95	7464	0	28
2025.11.07	23:00:00	4003.45	4005.16	3998.47	4001.36	2129	0	28
2025.11.10	01:00:00	4000.57	4012.17	3997.85	4011.81	4793	0	28
2025.11.10	02:00:00	4011.80	4023.68	4011.11	4020.31	5497	0	28
2025.11.10	03:00:00	4020.18	4053.17	4019.09	4044.08	9345	0	28
2025.11.10	04:00:00	4044.10	4049.07	4037.79	4048.14	7425	0	28
2025.11.10	05:00:00	4048.13	4052.62	4044.92	4050.27	5256	0	28
2025.11.10	06:00:00	4050.16	4056.72	4049.82	4054.11	5004	0	28
2025.11.10	07:00:00	4054.13	4069.80	4050.05	4069.31	5906	0	28
2025.11.10	08:00:00	4069.32	4078.29	4066.98	4075.09	6736	0	28
2025.11.10	09:00:00	4075.04	4078.99	4072.33	4075.54	5969	0	28
2025.11.10	10:00:00	4075.23	4084.99	4074.92	4082.16	7336	0	28
2025.11.10	11:00:00	4082.21	4086.35	4071.49	4076.60	7000	0	28
2025.11.10	12:00:00	4076.57	4083.37	4075.98	4080.83	5629	0	28
2025.11.10	13:00:00	4080.89	4085.39	4075.74	4085.31	5430	0	28
2025.11.10	14:00:00	4085.40	4099.93	4084.26	4097.51	7091	0	28
2025.11.10	15:00:00	4097.53	4105.90	4090.28	4092.11	9137	0	28
2025.11.10	16:00:00	4091.61	4094.05	4074.40	4083.52	9799	0	28
2025.11.10	17:00:00	4083.32	4094.30	4077.78	4084.24	9716	0	28
2025.11.10	18:00:00	4084.25	4095.67	4081.93	4094.88	8170	0	28
2025.11.10	19:00:00	4095.01	4102.60	4093.31	4102.52	7657	0	28
2025.11.10	20:00:00	4102.51	4115.74	4101.65	4110.02	8051	0	28
2025.11.10	21:00:00	4110.11	4115.37	4107.82	4113.15	6954	0	28
2025.11.10	22:00:00	4113.11	4114.48	4106.60	4111.58	7111	0	28
2025.11.10	23:00:00	4111.62	4116.50	4110.32	4115.96	2626	0	28
2025.11.11	01:00:00	4115.82	4122.63	4114.69	4119.90	4707	0	28
2025.11.11	02:00:00	4120.20	4133.63	4116.16	4130.84	5844	0	28
2025.11.11	03:00:00	4130.85	4141.08	4127.86	4136.32	8538	0	28
2025.11.11	04:00:00	4136.21	4139.60	4129.55	4137.99	6805	0	28
2025.11.11	05:00:00	4137.76	4148.01	4137.13	4146.77	5868	0	28
2025.11.11	06:00:00	4146.75	4148.92	4141.91	4143.04	5041	0	28
2025.11.11	07:00:00	4142.97	4144.23	4124.65	4131.14	7547	0	28
2025.11.11	08:00:00	4131.08	4137.75	4126.77	4129.88	6884	0	28
2025.11.11	09:00:00	4130.20	4133.01	4124.94	4129.51	6590	0	28
2025.11.11	10:00:00	4129.20	4137.61	4128.75	4135.60	7044	0	28
