<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	01:00:00	2043.96	2044.34	2042.88	2044.24	1392	0	0
2024.03.01	02:00:00	2044.22	2044.26	2042.68	2043.69	0	0	0
2024.03.01	03:00:00	2043.71	2044.77	2043.02	2044.27	0	0	0
2024.03.01	04:00:00	2044.27	2045.94	2043.96	2045.36	0	0	0
2024.03.01	05:00:00	2045.36	2046.87	2045.25	2046.53	0	0	0
2024.03.01	06:00:00	2046.51	2046.55	2045.12	2045.41	0	0	0
2024.03.01	07:00:00	2045.31	2045.63	2043.31	2045.00	0	0	0
2024.03.01	08:00:00	2045.03	2048.18	2044.82	2046.71	0	0	0
2024.03.01	09:00:00	2046.70	2048.86	2045.11	2045.36	0	0	0
2024.03.01	10:00:00	2045.24	2045.64	2038.92	2039.90	0	0	0
2024.03.01	11:00:00	2039.89	2047.65	2039.34	2046.30	0	0	0
2024.03.01	12:00:00	2046.31	2055.16	2045.82	2054.85	0	0	0
2024.03.01	13:00:00	2054.85	2057.51	2053.77	2055.37	0	0	0
2024.03.01	14:00:00	2055.37	2057.10	2052.08	2052.45	0	0	0
2024.03.01	15:00:00	2052.47	2054.63	2049.96	2051.61	0	0	0
2024.03.01	16:00:00	2051.61	2056.75	2045.54	2046.54	0	0	0
2024.03.01	17:00:00	2046.70	2071.04	2046.70	2069.05	0	0	0
2024.03.01	18:00:00	2069.06	2082.07	2069.06	2081.05	0	0	0
2024.03.01	19:00:00	2081.05	2085.75	2079.89	2084.72	0	0	0
2024.03.01	20:00:00	2084.71	2088.38	2082.17	2085.74	0	0	0
2024.03.01	21:00:00	2085.77	2086.77	2084.66	2085.17	0	0	0
2024.03.01	22:00:00	2085.15	2085.40	2082.96	2083.58	0	0	0
2024.03.01	23:00:00	2083.42	2084.02	2082.72	2083.31	0	0	0
2024.03.04	01:00:00	2082.41	2086.23	2082.31	2083.41	3691	0	0
2024.03.04	02:00:00	2083.56	2084.41	2082.14	2082.61	0	0	0
2024.03.04	03:00:00	2082.50	2082.91	2079.37	2080.10	0	0	0
2024.03.04	04:00:00	2080.12	2083.48	2079.83	2081.55	0	0	0
2024.03.04	05:00:00	2081.40	2081.99	2080.29	2081.45	0	0	0
2024.03.04	06:00:00	2081.46	2081.59	2080.22	2080.81	0	0	0
2024.03.04	07:00:00	2080.80	2082.31	2080.37	2081.58	0	0	0
2024.03.04	08:00:00	2081.45	2084.00	2081.01	2083.48	0	0	0
2024.03.04	09:00:00	2083.50	2088.34	2083.50	2087.30	0	0	0
2024.03.04	10:00:00	2087.31	2087.55	2083.44	2083.82	0	0	0
2024.03.04	11:00:00	2083.81	2086.19	2083.12	2085.08	0	0	0
2024.03.04	12:00:00	2085.25	2085.85	2082.57	2083.83	0	0	0
2024.03.04	13:00:00	2083.84	2084.65	2081.80	2082.02	0	0	0
2024.03.04	14:00:00	2082.17	2083.49	2081.80	2082.64	0	0	0
2024.03.04	15:00:00	2082.61	2093.27	2081.07	2091.53	0	0	0
2024.03.04	16:00:00	2091.57	2101.47	2090.40	2100.84	0	0	0
2024.03.04	17:00:00	2100.85	2109.44	2097.50	2109.18	0	0	0
2024.03.04	18:00:00	2109.11	2119.94	2107.66	2119.23	0	0	0
2024.03.04	19:00:00	2119.23	2119.85	2113.84	2116.53	0	0	0
2024.03.04	20:00:00	2116.53	2118.11	2113.53	2115.38	0	0	0
2024.03.04	21:00:00	2115.39	2117.38	2113.25	2116.24	0	0	0
2024.03.04	22:00:00	2116.44	2118.58	2115.34	2116.70	0	0	0
2024.03.04	23:00:00	2116.52	2117.27	2114.78	2114.94	0	0	0
2024.03.05	01:00:00	2114.28	2115.87	2113.48	2114.63	1642	0	0
2024.03.05	02:00:00	2114.61	2115.92	2114.15	2115.50	0	0	0
2024.03.05	03:00:00	2115.52	2116.86	2110.43	2112.65	0	0	0
2024.03.05	04:00:00	2112.71	2113.34	2111.33	2112.27	0	0	0
2024.03.05	05:00:00	2112.33	2114.01	2111.15	2112.83	0	0	0
